  PID NAME                        ARGS                       
    1 init                        init second_stage
    2 [kthreadd]                  [kthreadd]
    3 [rcu_gp]                    [rcu_gp]
    4 [slub_flushwq]              [slub_flushwq]
    5 [netns]                     [netns]
    9 [mm_percpu_wq]              [mm_percpu_wq]
   11 [rcu_tasks_kthread]         [rcu_tasks_kthread]
   12 [rcu_tasks_trace_kthread]   [rcu_tasks_trace_kthread]
   13 [ksoftirqd/0]               [ksoftirqd/0]
   14 [rcu_preempt]               [rcu_preempt]
   15 [rcub/0]                    [rcub/0]
   16 [rcu_exp_gp_kthread_worker] [rcu_exp_gp_kthread_worker]
   17 [rcu_exp_par_gp_kthread_worker] [rcu_exp_par_gp_kthread_worker]
   18 [migration/0]               [migration/0]
   19 [idle_inject/0]             [idle_inject/0]
   20 [cpuhp/0]                   [cpuhp/0]
   21 [cpuhp/1]                   [cpuhp/1]
   22 [idle_inject/1]             [idle_inject/1]
   23 [migration/1]               [migration/1]
   24 [ksoftirqd/1]               [ksoftirqd/1]
   27 [cpuhp/2]                   [cpuhp/2]
   28 [idle_inject/2]             [idle_inject/2]
   29 [migration/2]               [migration/2]
   30 [ksoftirqd/2]               [ksoftirqd/2]
   33 [cpuhp/3]                   [cpuhp/3]
   34 [idle_inject/3]             [idle_inject/3]
   35 [migration/3]               [migration/3]
   36 [ksoftirqd/3]               [ksoftirqd/3]
   39 [cpuhp/4]                   [cpuhp/4]
   40 [idle_inject/4]             [idle_inject/4]
   41 [migration/4]               [migration/4]
   42 [ksoftirqd/4]               [ksoftirqd/4]
   45 [cpuhp/5]                   [cpuhp/5]
   46 [idle_inject/5]             [idle_inject/5]
   47 [migration/5]               [migration/5]
   48 [ksoftirqd/5]               [ksoftirqd/5]
   51 [cpuhp/6]                   [cpuhp/6]
   52 [idle_inject/6]             [idle_inject/6]
   53 [migration/6]               [migration/6]
   54 [ksoftirqd/6]               [ksoftirqd/6]
   57 [cpuhp/7]                   [cpuhp/7]
   58 [idle_inject/7]             [idle_inject/7]
   59 [migration/7]               [migration/7]
   60 [ksoftirqd/7]               [ksoftirqd/7]
   63 [inet_frag_wq]              [inet_frag_wq]
   64 [kauditd]                   [kauditd]
   65 [khungtaskd]                [khungtaskd]
   66 [oom_reaper]                [oom_reaper]
   67 [writeback]                 [writeback]
   68 [kcompactd0]                [kcompactd0]
   69 [kblockd]                   [kblockd]
   70 [blkcg_punt_bio]            [blkcg_punt_bio]
   71 [edac-poller]               [edac-poller]
   72 [devfreq_wq]                [devfreq_wq]
   73 [watchdogd]                 [watchdogd]
   78 [kswapd0]                   [kswapd0]
   80 [erofs_worker/0]            [erofs_worker/0]
   81 [erofs_worker/1]            [erofs_worker/1]
   82 [erofs_worker/2]            [erofs_worker/2]
   83 [erofs_worker/3]            [erofs_worker/3]
   84 [erofs_worker/4]            [erofs_worker/4]
   85 [erofs_worker/5]            [erofs_worker/5]
   86 [erofs_worker/6]            [erofs_worker/6]
   87 [erofs_worker/7]            [erofs_worker/7]
   88 [kthrotld]                  [kthrotld]
  103 [dmabuf-deferred-free-worker] [dmabuf-deferred-free-worker]
  106 [nvme-wq]                   [nvme-wq]
  108 [nvme-reset-wq]             [nvme-reset-wq]
  110 [nvme-delete-wq]            [nvme-delete-wq]
  113 [uas]                       [uas]
  116 [dm_bufio_cache]            [dm_bufio_cache]
  128 [hwrng]                     [hwrng]
  130 [mld]                       [mld]
  131 [ipv6_addrconf]             [ipv6_addrconf]
  135 [mt-wdk]                    [mt-wdk]
  136 [wdtk-0]                    [wdtk-0]
  137 [wdtk-1]                    [wdtk-1]
  138 [wdtk-2]                    [wdtk-2]
  139 [wdtk-3]                    [wdtk-3]
  140 [wdtk-4]                    [wdtk-4]
  141 [wdtk-5]                    [wdtk-5]
  142 [wdtk-6]                    [wdtk-6]
  143 [wdtk-7]                    [wdtk-7]
  144 [hang_detect]               [hang_detect]
  145 [hang_detect1]              [hang_detect1]
  146 [logmuch_detect]            [logmuch_detect]
  148 [irq/235-mt6358-irq]        [irq/235-mt6358-irq]
  149 [xsphy]                     [xsphy]
  150 [xsphy]                     [xsphy]
  151 [xsphy]                     [xsphy]
  152 [xsphy]                     [xsphy]
  164 [irq/281-11201000.usb0]     [irq/281-11201000.usb0]
  165 [otg_sx]                    [otg_sx]
  166 [stmmac_wq]                 [stmmac_wq]
  168 [cmdq_irq_thread]           [cmdq_irq_thread]
  169 [cmdq_buf_dump]             [cmdq_buf_dump]
  170 [cmdq_timeout_ha]           [cmdq_timeout_ha]
  171 [cmdq_flushq]               [cmdq_flushq]
  172 [cmdq_irq_thread]           [cmdq_irq_thread]
  173 [cmdq_buf_dump]             [cmdq_buf_dump]
  174 [cmdq_timeout_ha]           [cmdq_timeout_ha]
  175 [cmdq_flushq]               [cmdq_flushq]
  176 [cmdq_vcp_power_]           [cmdq_vcp_power_]
  177 [cmdq_pkt_destro]           [cmdq_pkt_destro]
  178 [cmdq_buffer_usage]         [cmdq_buffer_usage]
  179 [ree_service]               [ree_service]
  180 [irq/296-TEE IRQ]           [irq/296-TEE IRQ]
  181 [dmabuf-deferred-free-worker] [dmabuf-deferred-free-worker]
  182 [dma_pool_fill_thread]      [dma_pool_fill_thread]
  183 [sec-dmabuf-deferred-free-worker] [sec-dmabuf-deferred-free-worker]
  184 [sec-dmabuf-deferred-free-worker] [sec-dmabuf-deferred-free-worker]
  185 [cmdq_sec_notify]           [cmdq_sec_notify]
  186 [cmdq_sec_timeou]           [cmdq_sec_timeou]
  187 [cmdq_sec_notify]           [cmdq_sec_notify]
  188 [cmdq_sec_timeou]           [cmdq_sec_timeou]
  190 [cmdq_flushq]               [cmdq_flushq]
  191 [cmdq_flushq]               [cmdq_flushq]
  192 [task_exec_wq_13]           [task_exec_wq_13]
  193 [cmdq_flushq]               [cmdq_flushq]
  194 [cmdq_flushq]               [cmdq_flushq]
  195 [cmdq_flushq]               [cmdq_flushq]
  196 [cmdq_flushq]               [cmdq_flushq]
  197 [cmdq_flushq]               [cmdq_flushq]
  198 [cmdq_flushq]               [cmdq_flushq]
  199 [task_exec_wq_11]           [task_exec_wq_11]
  200 [cmdq_flushq]               [cmdq_flushq]
  201 [task_exec_wq_12]           [task_exec_wq_12]
