ts,elapsed_s,mem_total_kb,mem_free_kb,mem_available_kb,swap_free_kb,mdla_cur_hz,mdla_target_hz,apu_temp_mC,cpu_temp_max_mC,app_pid,app_rss_kb,app_vsz_kb,daemon_pids
1778847366,0,7415948,615992,5393296,6987400,900000000,900000000,50438,54688,21043,285036,17903160,20904:libopenclaw_node.so;
1778847370,4,7415948,600180,5341948,6987400,900000000,900000000,52043,55422,21043,289608,17904196,20904:libopenclaw_node.so;
1778847374,8,7415948,575420,5353704,6987400,900000000,900000000,54015,56874,21043,287080,17904220,20904:libopenclaw_node.so;21823:main;
1778847380,14,7415948,210980,4482904,6987400,900000000,900000000,54795,57134,21043,287788,17904220,20904:libopenclaw_node.so;21823:main;
1778847384,18,7415948,168708,3675112,6987400,900000000,900000000,60803,59427,21043,288856,17904220,20904:libopenclaw_node.so;21823:main;
1778847389,23,7415948,269172,3718560,6987400,900000000,900000000,59977,60329,21043,288152,17939288,20904:libopenclaw_node.so;21823:main;
1778847394,28,7415948,258592,3711596,6987400,900000000,900000000,61062,60833,21043,287732,17939392,20904:libopenclaw_node.so;21823:main;
1778847399,33,7415948,1262624,5391980,6987400,900000000,900000000,56675,59503,21043,293400,17944464,20904:libopenclaw_node.so;22213:main;
1778847403,37,7415948,339412,3723272,6987400,900000000,900000000,55895,58693,21043,294564,17945444,20904:libopenclaw_node.so;22213:main;
1778847408,42,7415948,1181776,4566152,6987400,900000000,900000000,57470,60359,21043,294820,17945444,20904:libopenclaw_node.so;22213:main;
1778847412,46,7415948,369272,3704312,6987400,900000000,900000000,61597,61353,21043,295084,17945444,20904:libopenclaw_node.so;22213:main;
1778847417,51,7415948,368088,3703688,6987400,900000000,900000000,62041,62010,21043,295080,17945444,20904:libopenclaw_node.so;22213:main;
1778847421,55,7415948,364248,3700948,6987400,900000000,900000000,61062,62591,21043,295344,17945444,20904:libopenclaw_node.so;22213:main;
1778847425,59,7415948,1355888,5377740,6987400,900000000,900000000,56308,60267,21043,295344,17945444,20904:libopenclaw_node.so;
1778847429,63,7415948,1350168,5371824,6987400,900000000,900000000,54963,57791,21043,295608,17945444,20904:libopenclaw_node.so;
1778847433,67,7415948,1346856,5368796,6987400,900000000,900000000,54367,57302,21043,295608,17945444,20904:libopenclaw_node.so;
1778847437,71,7415948,1343876,5365632,6987400,900000000,900000000,54367,57210,21043,295872,17945444,20904:libopenclaw_node.so;
1778847441,75,7415948,1345788,5368304,6987400,900000000,900000000,53144,56843,21043,295872,17945444,20904:libopenclaw_node.so;
1778847445,79,7415948,1338228,5360056,6987400,900000000,900000000,55315,58020,21043,313848,17953784,20904:libopenclaw_node.so;
1778847449,83,7415948,1326080,5348988,6987400,900000000,900000000,54474,56981,21043,314220,17953784,20904:libopenclaw_node.so;
1778847453,87,7415948,1326960,5350840,6987400,900000000,900000000,53709,56629,21043,314232,17936264,20904:libopenclaw_node.so;
1778847457,91,7415948,1333292,5357236,6987400,900000000,900000000,52823,56247,21043,315324,17918744,20904:libopenclaw_node.so;
1778847461,95,7415948,1338060,5362028,6987400,900000000,900000000,52899,56247,21043,315588,17918744,20904:libopenclaw_node.so;
1778847465,99,7415948,1341880,5365848,6987400,900000000,900000000,52502,56293,21043,315588,17918744,20904:libopenclaw_node.so;
