sample,epoch_ms,mem_avail_kb,total_jiffies,app_pid,app_jiffies,app_rss_kb,app_pss_kb,bridge_pid,bridge_jiffies,bridge_rss_kb,server_pid,server_jiffies,server_rss_kb,worker_pid,worker_jiffies,worker_rss_kb,mdla_cur_freq,mdla_busy_time,mdla_total_time
1,1778904977249,5464992,118312338,11793,2148,267624,166902,12294,159,46904,,0,0,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
2,1778904982213,4549460,118316080,11793,2161,267048,165690,12294,205,47812,12431,317,57296,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
3,1778904987888,3783180,118320299,11793,2161,267028,165686,12294,224,48280,12431,817,103636,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
4,1778904993103,3782284,118324189,11793,2161,267024,165666,12294,248,48476,12431,877,103636,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
5,1778904998182,4471916,118327964,11793,2161,267024,165666,12294,265,48524,12431,1037,502548,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
6,1778905002907,3752660,118331486,11793,2161,267024,165666,12294,269,48816,12431,1086,107076,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
7,1778905007337,3755512,118334780,11793,2166,267288,165918,12294,269,48804,12431,1086,107076,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
8,1778905011803,3750336,118338113,11793,2166,267288,165918,12294,269,48804,12431,1086,107076,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
9,1778905016545,3748312,118341653,11793,2166,267288,165918,12294,269,48804,12431,1086,107076,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
10,1778905021186,3751844,118345103,11793,2166,267288,165918,12294,269,48804,12431,1086,107076,,0,0,900000000,     From  :   To           : 330000000 500000000 615000000 755000000 90000000010000000001100000000   time(ms)  330000000:         0         0         0         0         0         0         0         0  500000000:         0         0         0         0         0         0         0         0  615000000:         0         0         0         0         0         0         0         0  755000000:         0         0         0         0         0         0         0         0* 900000000:         0         0         0         0         0         0         0         0 1000000000:         0         0         0         0         0         0         0         0 1100000000:         0         0         0         0         0         0         0         0Total transition : 0,
