sample,epoch_ms,zone,type,temp
1,1778904977249,thermal_zone0,soc_max,55590
1,1778904977249,thermal_zone1,cpu-big1,54336
1,1778904977249,thermal_zone10,cpu-little6,55284
1,1778904977249,thermal_zone11,cpu-little7,56109
1,1778904977249,thermal_zone12,cpu-little8,54902
1,1778904977249,thermal_zone13,soc1,53297
1,1778904977249,thermal_zone14,soc2,53388
1,1778904977249,thermal_zone15,soc3,53220
1,1778904977249,thermal_zone16,apu,53006
1,1778904977249,thermal_zone17,gpu1,53740
1,1778904977249,thermal_zone18,gpu2,52823
1,1778904977249,thermal_zone19,pmic-temp,48701
1,1778904977249,thermal_zone2,cpu-big2,54214
1,1778904977249,thermal_zone20,pmic-vcore,48581
1,1778904977249,thermal_zone21,pmic-vproc,48045
1,1778904977249,thermal_zone22,pmic-vgpu,47508
1,1778904977249,thermal_zone23,ap_ntc,50729
1,1778904977249,thermal_zone3,cpu-big3,54932
1,1778904977249,thermal_zone4,cpu-big4,55116
1,1778904977249,thermal_zone5,cpu-little1,54734
1,1778904977249,thermal_zone6,cpu-little2,55192
1,1778904977249,thermal_zone7,cpu-little3,55269
1,1778904977249,thermal_zone8,cpu-little4,55223
1,1778904977249,thermal_zone9,cpu-little5,56354
2,1778904982213,thermal_zone0,soc_max,57210
2,1778904982213,thermal_zone1,cpu-big1,56002
2,1778904982213,thermal_zone10,cpu-little6,57348
2,1778904982213,thermal_zone11,cpu-little7,57241
2,1778904982213,thermal_zone12,cpu-little8,56996
2,1778904982213,thermal_zone13,soc1,54932
2,1778904982213,thermal_zone14,soc2,55085
2,1778904982213,thermal_zone15,soc3,54550
2,1778904982213,thermal_zone16,apu,54688
2,1778904982213,thermal_zone17,gpu1,54474
2,1778904982213,thermal_zone18,gpu2,54367
2,1778904982213,thermal_zone19,pmic-temp,48701
2,1778904982213,thermal_zone2,cpu-big2,56018
2,1778904982213,thermal_zone20,pmic-vcore,49118
2,1778904982213,thermal_zone21,pmic-vproc,48045
2,1778904982213,thermal_zone22,pmic-vgpu,48045
2,1778904982213,thermal_zone23,ap_ntc,51145
2,1778904982213,thermal_zone3,cpu-big3,56278
2,1778904982213,thermal_zone4,cpu-big4,56048
2,1778904982213,thermal_zone5,cpu-little1,55941
2,1778904982213,thermal_zone6,cpu-little2,56048
2,1778904982213,thermal_zone7,cpu-little3,56002
2,1778904982213,thermal_zone8,cpu-little4,56155
2,1778904982213,thermal_zone9,cpu-little5,57653
3,1778904987888,thermal_zone0,soc_max,59243
3,1778904987888,thermal_zone1,cpu-big1,57638
3,1778904987888,thermal_zone10,cpu-little6,58632
3,1778904987888,thermal_zone11,cpu-little7,59366
3,1778904987888,thermal_zone12,cpu-little8,59060
3,1778904987888,thermal_zone13,soc1,59289
3,1778904987888,thermal_zone14,soc2,58494
3,1778904987888,thermal_zone15,soc3,57867
3,1778904987888,thermal_zone16,apu,59350
3,1778904987888,thermal_zone17,gpu1,57287
3,1778904987888,thermal_zone18,gpu2,57180
3,1778904987888,thermal_zone19,pmic-temp,49295
3,1778904987888,thermal_zone2,cpu-big2,57974
3,1778904987888,thermal_zone20,pmic-vcore,50191
3,1778904987888,thermal_zone21,pmic-vproc,49118
3,1778904987888,thermal_zone22,pmic-vgpu,48581
3,1778904987888,thermal_zone23,ap_ntc,51875
3,1778904987888,thermal_zone3,cpu-big3,57913
3,1778904987888,thermal_zone4,cpu-big4,58295
3,1778904987888,thermal_zone5,cpu-little1,58662
3,1778904987888,thermal_zone6,cpu-little2,58510
3,1778904987888,thermal_zone7,cpu-little3,58464
