sample,host_time,pid,app_top_cpu_percent,app_top_rss_kb,app_threads,app_vmrss_kb,app_vmsize_kb,cpuinfo_line,max_temp_c,min_temp_c,thermal_hotspot
"0","2026-05-16T16:56:57.2373865+08:00","1395","0.0","3332","57","290304","18184996","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","61.8","51.3","soc_max:61.8"
"2","2026-05-16T16:57:02.7197050+08:00","1395","0.0","3320","56","277968","17898416","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","61.2","51.3","soc_max:61.2"
"4","2026-05-16T16:57:07.7325141+08:00","1395","0.0","3344","56","278452","17907756","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","61","50.7","cpu-little5:61"
"6","2026-05-16T16:57:12.4405927+08:00","1395","0.0","3344","56","278716","17907756","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","61","50.7","cpu-little5:61"
"8","2026-05-16T16:57:17.6330017+08:00","1395","0.0","3328","56","285708","17907756","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","60.9","51.3","cpu-little5:60.9"
"10","2026-05-16T16:57:22.2720142+08:00","1395","0.0","3344","56","285948","17907756","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","60.9","51.3","cpu-little7:60.9"
"12","2026-05-16T16:57:26.9445265+08:00","1395","0.0","3308","56","286204","17907756","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","60.9","51.3","cpu-little5:60.9"
"14","2026-05-16T16:57:31.6380282+08:00","1395","0.0","3292","56","286476","17907756","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","60.9","51.8","soc_max:60.9"
"16","2026-05-16T16:57:36.2953291+08:00","1395","0.0","3352","56","287456","17908624","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","60.9","51.8","cpu-little7:60.9"
"18","2026-05-16T16:57:41.0201358+08:00","1395","0.0","3328","56","287724","17908624","195% 30562/io.github.openclawcn.app: 114% user + 81% kernel / faults: 4719134 minor 1 major","61","51.3","cpu-little7:61"
